created_at,timestamp,emoji,test,question_number,field,comment,image_url
2025-12-03T14:34:12.224000-03:00,01:12,✅,FUVEST 2023 2 FASE MATEMÁTICA,Q01A,Funções,,
2025-12-03T14:08:11.628000-03:00,00:00,❌,FUVEST 2024 2 FASE MATEMÁTICA,Q06C,Matemática Básica,,
2025-12-03T14:08:08.905000-03:00,00:00,❌,FUVEST 2024 2 FASE MATEMÁTICA,Q06B,Matemática Básica,,
2025-12-03T14:08:05.134000-03:00,13:21,❌,FUVEST 2024 2 FASE MATEMÁTICA,Q06A,Matemática Básica,,
2025-12-02T21:42:04.283000-03:00,08:54,☑️,FUVEST 2024 2 FASE MATEMÁTICA,Q05C,Funções/Geometria,,
2025-12-02T21:18:24.853000-03:00,04:25,✅,FUVEST 2024 2 FASE MATEMÁTICA,Q05B,Funções/Geometria,,
2025-12-02T21:18:14.906000-03:00,03:15,✅,FUVEST 2024 2 FASE MATEMÁTICA,Q05A,Funções/Geometria,,
2025-12-02T20:46:59.510000-03:00,14:09,❌,FUVEST 2024 2 FASE MATEMÁTICA,Q04C,Funções/Álgebra,,
2025-12-02T20:22:40.947000-03:00,07:30,✅,FUVEST 2024 2 FASE MATEMÁTICA,Q04B,Funções/Análise de Gráfico,,
2025-12-02T20:14:31.762000-03:00,02:11,✅,FUVEST 2024 2 FASE MATEMÁTICA,Q04A,Funções/Análise de Gráfico,,
2025-12-02T20:11:52.393000-03:00,04:37,❌,FUVEST 2024 2 FASE MATEMÁTICA,Q03C,Funções/Análise de Gráfico,⚠️,
2025-11-30T22:47:30.199000-03:00,08:12,❌,FUVEST 2024 2 FASE MATEMÁTICA,Q03B,Funções,,
2025-11-30T21:48:17.908000-03:00,02:40,✅,FUVEST 2024 2 FASE MATEMÁTICA,Q03A,Funções,,
2025-11-30T20:22:49.263000-03:00,05:40,❌,FUVEST 2024 2 FASE MATEMÁTICA,Q02C,Combinatória,teorema de bayes,
2025-11-30T19:48:45.651000-03:00,03:36,❌,FUVEST 2024 2 FASE MATEMÁTICA,Q02B,Combinatória,,
2025-11-30T19:36:54.907000-03:00,04:41,❌,FUVEST 2024 2 FASE MATEMÁTICA,Q02A,Combinatória,,
2025-11-30T17:45:04.031000-03:00,06:34,❌,FUVEST 2024 2 FASE MATEMÁTICA,Q01C,Matemática Básica,,
2025-11-30T17:36:58.831000-03:00,02:18,☑️,FUVEST 2024 2 FASE MATEMÁTICA,Q01B,Matemática Básica,,
2025-11-30T17:36:36.074000-03:00,05:39,❌,FUVEST 2024 2 FASE MATEMÁTICA,Q01A,Matemática Básica,,
2025-11-30T13:29:01.704000-03:00,01:12,❌,FUVEST 2025 2 FASE MATEMÁTICA,Q06C,Geometria/Trigonomoetria,,
2025-11-30T12:56:43.393000-03:00,05:30,☑️,FUVEST 2025 2 FASE MATEMÁTICA,Q06B,Geometria/Trigonometria,,
2025-11-30T12:10:00.782000-03:00,12:29,❌,FUVEST 2025 2 FASE MATEMÁTICA,Q06A,Geometria/Trigonometria,,
2025-11-30T11:27:30.804000-03:00,02:16,❌,FUVEST 2025 2 FASE MATEMÁTICA,Q05C,Álgebra/Matemática Básica,Spa = n(n+1)/2 ou (a1+an)*n/2,
2025-11-30T11:22:23.348000-03:00,02:19,☑️,FUVEST 2025 2 FASE MATEMÁTICA,Q05B,Progressões,,
2025-11-30T11:20:33.446000-03:00,01:55,✅,FUVEST 2025 2 FASE MATEMÁTICA,Q05A,Progressões,,
2025-11-30T10:45:50.480000-03:00,06:37,❌,FUVEST 2025 2 FASE MATEMÁTICA,Q04C,Álgebra,,
2025-11-30T10:35:09.056000-03:00,09:47,☑️,FUVEST 2025 2 FASE MATEMÁTICA,Q04B,Progressões/Álgebra,Spg = a1*(q^n - 1)/(q-1),
2025-11-30T10:22:38.133000-03:00,03:36,✅,FUVEST 2025 2 FASE MATEMÁTICA,Q04A,Funções/Álgebra,,
2025-11-29T15:38:46.976000-03:00,04:02,✅,FUVEST 2025 2 FASE MATEMÁTICA,Q03C,Funções,,
2025-11-29T14:19:24.175000-03:00,02:32,☑️,FUVEST 2025 2 FASE MATEMÁTICA,Q03B,Funções,,
2025-11-29T14:11:07.267000-03:00,05:50,✅,FUVEST 2025 2 FASE MATEMÁTICA,Q03A,Geometria/Funções,,
2025-11-29T13:54:03.708000-03:00,04:10,☑️,FUVEST 2025 2 FASE MATEMÁTICA,Q02C,Combinatória,,
2025-11-29T13:35:10.354000-03:00,01:02,✅,FUVEST 2025 2 FASE MATEMÁTICA,Q02B,Combinatória,,
2025-11-29T13:33:52.161000-03:00,01:51,✅,FUVEST 2025 2 FASE MATEMÁTICA,Q02A,Combinatória,,
2025-11-29T11:13:28.022000-03:00,11:13,❌,FUVEST 2025 2 FASE MATEMÁTICA,Q01C,Sistemas Lineares,,
2025-11-29T09:44:41.174000-03:00,03:00,✅,FUVEST 2025 2 FASE MATEMÁTICA,Q01B,Sistemas Lineares/Matemática Básica,,
2025-11-29T09:44:31.536000-03:00,01:22,✅,FUVEST 2025 2 FASE MATEMÁTICA,Q01A,Sistemas Lineares/Matemática Básica,,
2025-11-22T16:30:27.075000-03:00,01:19,✅,SIMULADO FUVEST 2026,Q78,Biologia,,
2025-11-22T16:27:57.711000-03:00,02:37,❌,SIMULADO FUVEST 2026,Q77,Geografia,⚠️,
2025-11-22T16:24:58.187000-03:00,05:18,❌,SIMULADO FUVEST 2026,Q76,Matemática Básica,,
2025-11-22T16:18:53.504000-03:00,00:50,✅,SIMULADO FUVEST 2026,Q75,Interpretação de Texto/História,,
2025-11-22T16:17:28.316000-03:00,00:15,✅,SIMULADO FUVEST 2026,Q73,Biologia/Interpretação de Texto,,
2025-11-22T16:16:42.276000-03:00,02:25,✅,SIMULADO FUVEST 2026,Q72,Análise de Gráfico/Termodinâmica,,
2025-11-22T16:03:10.877000-03:00,02:01,✅,SIMULADO FUVEST 2026,Q71,Interpretação de Texto/Biologia,,
2025-11-22T15:59:00.010000-03:00,03:38,❌,SIMULADO FUVEST 2026,Q70,Interpretação de Texto/Biologia,,
2025-11-22T15:21:47.461000-03:00,02:21,❌,SIMULADO FUVEST 2026,Q69,Interpretação de Texto,,
2025-11-22T15:18:40.791000-03:00,02:42,❌,SIMULADO FUVEST 2026,Q65,Matemática Básica/Interpretação de Texto,,
2025-11-22T15:15:37.205000-03:00,01:27,✅,SIMULADO FUVEST 2026,Q67,Matemática Básica,,
2025-11-22T15:13:45.688000-03:00,00:21,✅,SIMULADO FUVEST 2026,Q66,Combinatória,,
2025-11-22T15:12:55.423000-03:00,01:24,✅,SIMULADO FUVEST 2026,Q64,Interpretação de Texto,,
2025-11-22T15:11:10.896000-03:00,01:27,✅,SIMULADO FUVEST 2026,Q63,Interpretação de Texto/Biologia,,
2025-11-22T15:11:03.335000-03:00,01:59,❌,SIMULADO FUVEST 2026,Q62,Interpretação de Texto,,
2025-11-22T15:06:29.832000-03:00,01:46,✅,SIMULADO FUVEST 2026,Q61,Interpretação de Texto,,
2025-11-22T15:01:11.643000-03:00,01:04,✅,SIMULADO FUVEST 2026,Q60,Biologia/Interpretação de Texto,,
2025-11-22T14:59:31.743000-03:00,02:00,✅,SIMULADO FUVEST 2026,Q59,Biologia/Citologia,"reticulo endoplasmatico liso - sintese de lipídios, e armazena cálcio nas células musculares, muito importante para a contração.",
2025-11-22T14:08:54.731000-03:00,02:16,❌,SIMULADO FUVEST 2026,Q58,Ondas/Energia,não li o enunciado,
2025-11-22T11:45:54.188000-03:00,03:00,❌,SIMULADO FUVEST 2026,Q57,Química,⚠️,
2025-11-22T11:10:30.641000-03:00,01:45,✅,SIMULADO FUVEST 2026,Q56,Química,,
2025-11-22T10:55:23.378000-03:00,05:42,✅,SIMULADO FUVEST 2026,Q55,Química/Pressão,,
2025-11-22T10:28:57.916000-03:00,01:22,✅,SIMULADO FUVEST 2026,Q54,Química/Eletroquímica,,
2025-11-22T10:28:27.274000-03:00,02:35,❌,SIMULADO FUVEST 2026,Q53,Química/Física,,
2025-11-22T09:48:22.572000-03:00,05:25,❌,SIMULADO FUVEST 2026,Q51,Química,a presença de perclorato (ClO4) diminui a temperatura de congelamento da água,
2025-11-22T09:41:29.270000-03:00,00:46,✅,SIMULADO FUVEST 2026,Q49,Eletromagnetismo,,
2025-11-22T09:38:12.485000-03:00,09:39,✅,SIMULADO FUVEST 2026,Q48,Forças/Eletromagnetismo,,
2025-11-22T09:24:20.689000-03:00,04:29,✅,SIMULADO FUVEST 2026,Q47,Cinemática/Forças,,
2025-11-21T20:22:39.390000-03:00,04:02,✅,SIMULADO FUVEST 2026,Q74,Álgebra/Progressões/Matemática Básica,,
2025-11-21T20:13:59.434000-03:00,01:05,✅,SIMULADO FUVEST 2026,Q49,Eletromagnetismo,"**Fel = q*E**, a força vai ser na direção do campo de acordo com o sentido da carga q (positivo ou negativo); **E = qu (campo eletrico)**",
2025-11-21T19:46:48.389000-03:00,02:11,✅,SIMULADO FUVEST 2026,Q68,Geometria/Proporções,,
2025-11-21T19:32:08.414000-03:00,05:47,☑️,SIMULADO FUVEST 2026,Q84,Cinemática/Forças,,
2025-11-21T12:13:23.925000-03:00,00:31,✅,SIMULADO FUVEST 2026,Q46,Interpretação de Texto,,
2025-11-21T12:13:23.452000-03:00,01:52,✅,SIMULADO FUVEST 2026,Q45,Interpretação de Texto,,
2025-11-21T12:06:14.672000-03:00,04:20,✅,SIMULADO FUVEST 2026,Q44,Interpretação de Texto,,
2025-11-21T12:01:36.576000-03:00,00:56,✅,SIMULADO FUVEST 2026,Q43,Interpretação de Texto,,
2025-11-21T11:58:51.006000-03:00,04:44,❌,SIMULADO FUVEST 2026,Q42,Interpretação de Texto,,
2025-11-21T11:53:49.569000-03:00,00:34,✅,SIMULADO FUVEST 2026,Q41,Interpretação de Texto,,
2025-11-21T11:52:21.033000-03:00,03:45,❌,SIMULADO FUVEST 2026,Q40,Interpretação de Texto/Gramática,,
2025-11-21T11:48:12.805000-03:00,00:27,✅,SIMULADO FUVEST 2026,Q39,Interpretação de Texto,,
2025-11-21T11:47:30.510000-03:00,01:46,✅,SIMULADO FUVEST 2026,Q38,Interpretação de Texto,,
2025-11-21T11:36:32.855000-03:00,01:59,✅,SIMULADO FUVEST 2026,Q37,Interpretação de Texto,,
2025-11-21T11:33:19.960000-03:00,02:22,❌,SIMULADO FUVEST 2026,Q36,Interpretação de Texto/Gramática,essa questão é muito ruim,
2025-11-21T11:30:10.684000-03:00,00:22,✅,SIMULADO FUVEST 2026,Q35,Interpretação de Texto,,
2025-11-21T11:29:24.631000-03:00,03:06,✅,SIMULADO FUVEST 2026,Q34,Interpretação de Texto,,
2025-11-21T11:25:53.829000-03:00,02:55,❌,SIMULADO FUVEST 2026,Q33,Interpretação de Texto,,
2025-11-21T11:22:29.924000-03:00,00:18,✅,SIMULADO FUVEST 2026,Q32,Interpretação de Texto,,
2025-11-21T11:21:52.434000-03:00,01:43,✅,SIMULADO FUVEST 2026,Q31,Interpretação de Texto,,
2025-11-21T11:18:45.709000-03:00,02:51,❌,SIMULADO FUVEST 2026,Q30,História/Interpretação de Texto,,
2025-11-21T11:14:09.702000-03:00,00:32,✅,SIMULADO FUVEST 2026,Q29,Interpretação de Texto,,
2025-11-21T11:07:43.892000-03:00,02:53,✅,SIMULADO FUVEST 2026,Q28,Trigonometria,,
2025-11-21T11:04:33.286000-03:00,03:40,☑️,SIMULADO FUVEST 2026,Q27,Geometria,,
2025-11-21T11:00:42.405000-03:00,01:15,✅,SIMULADO FUVEST 2026,Q26,Geometria,,
2025-11-21T10:59:07.519000-03:00,02:31,✅,SIMULADO FUVEST 2026,Q25,Interpretação de Texto,,
2025-11-21T10:39:05.332000-03:00,01:08,✅,SIMULADO FUVEST 2026,Q24,Interpretação de Texto,,
2025-11-21T10:37:04.042000-03:00,02:27,✅,SIMULADO FUVEST 2026,Q23,Interpretação de Texto,,
2025-11-21T10:33:35.042000-03:00,01:32,✅,SIMULADO FUVEST 2026,Q22,Interpretação de Texto,,
2025-11-21T10:31:38.533000-03:00,03:32,✅,SIMULADO FUVEST 2026,Q21,Interpretação de Texto,,
2025-11-21T10:22:43.124000-03:00,03:41,✅,SIMULADO FUVEST 2026,Q20,Interpretação de Texto,,
2025-11-21T10:18:28.734000-03:00,05:16,✅,SIMULADO FUVEST 2026,Q19,Interpretação de Texto,,
2025-11-21T10:09:35.030000-03:00,01:03,✅,SIMULADO FUVEST 2026,Q18,Interpretação de Texto,,
2025-11-21T10:08:12.016000-03:00,02:27,✅,SIMULADO FUVEST 2026,Q17,Interpretação de Texto,,
2025-11-20T21:47:41.439000-03:00,01:47,❌,SIMULADO FUVEST 2026,Q16,Geografia,,
2025-11-20T21:43:54.149000-03:00,01:35,❌,SIMULADO FUVEST 2026,Q15,Geografia,,
2025-11-20T21:40:53.710000-03:00,01:31,❌,SIMULADO FUVEST 2026,Q14,Análise de Gráfico,,
2025-11-20T21:37:17.376000-03:00,01:10,❌,SIMULADO FUVEST 2026,Q13,Calorimetria,,
2025-11-20T21:34:42.959000-03:00,02:34,✅,SIMULADO FUVEST 2026,Q11,Análise de Gráfico,,
2025-11-20T18:26:23.178000-03:00,00:14,✅,SIMULADO FUVEST 2026,Q12,Geografia,,
2025-11-20T18:25:52.128000-03:00,04:00,✅,SIMULADO FUVEST 2026,Q10,Análise de Gráfico,,
2025-11-20T18:12:39.574000-03:00,02:08,✅,SIMULADO FUVEST 2026,Q09,Interpretação de Texto,,
2025-11-20T18:03:18.448000-03:00,02:17,❌,SIMULADO FUVEST 2026,Q08,Interpretação de Texto/Gramática,,
2025-11-20T18:03:12.050000-03:00,01:33,✅,SIMULADO FUVEST 2026,Q07,Interpretação de Texto,,
2025-11-20T18:03:05.032000-03:00,01:12,❌,SIMULADO FUVEST 2026,Q06,História,"anos 1940 a itália atacou a etiopia usando uma derrota de 1890 como desculpa, ela usou armas químicas, foram denuncidas pelos etíopes pra liga das nações, ficou até 1941 até que foram expulsos pelos britânicos",
2025-11-20T18:02:56.845000-03:00,01:28,❌,SIMULADO FUVEST 2026,Q05,Interpretação de Texto,,
2025-11-20T18:02:47.609000-03:00,01:37,✅,SIMULADO FUVEST 2026,Q04,Interpretação de Texto/História,,
2025-11-20T17:43:44.924000-03:00,06:03,✅,SIMULADO FUVEST 2026,Q03,Interpretação de Texto/História,,
2025-11-20T17:36:01.318000-03:00,01:16,❌,SIMULADO FUVEST 2026,Q02,Interpretação de Texto/História,,
2025-11-20T17:33:02.825000-03:00,01:29,❌,SIMULADO FUVEST 2026,Q01,Interpretação de Texto/História,,
2025-11-20T13:23:14.185000-03:00,05:22,✅,FUVEST 2018,Q58,Cinemática/Quantidade de Movimento/Energia,,
2025-11-20T09:31:29.304000-03:00,08:51,❌,FUVEST 2018,Q24,Combinatória,,
2025-11-19T21:16:47.876000-03:00,12:15,❌,FUVEST 2023,Q00,Análise de Gráfico/Funções,"domínio é os valores que a função aceita (x), imagem é os valores que a função sai (y)",
2025-11-19T20:06:09.511000-03:00,07:28,❌,FUVEST 2023,Q27,Sistemas,,
2025-11-19T19:46:15.870000-03:00,01:58,❌,FUVEST 2023,Q26,Combinatória/Geometria,,
2025-11-19T19:46:05.703000-03:00,02:46,❌,FUVEST 2023,Q00,Análise de Gráfico/Funções,,
2025-11-18T21:27:49.229000-03:00,06:25,✅,FUVEST 2023,Q55,Termodinâmica,,
2025-11-18T21:04:01.213000-03:00,03:39,✅,FUVEST 2023,Q53,Elétrica,,
2025-11-16T11:08:00.039000-03:00,02:22,✅,ENEM 0000,Q103,Química/Matemática Básica,,
2025-11-16T10:25:58.051000-03:00,02:07,✅,ENEM 0000,Q100,Biologia/Genética,o DNA mitocondrial vêm da mãe. lembrar que a mãe é o essencial,
2025-11-16T10:21:38.744000-03:00,00:53,✅,ENEM 0000,Q98,Biologia/Interpretação de Texto,,
2025-11-16T10:19:50.849000-03:00,00:42,✅,ENEM 0000,Q96,Biologia/Interpretação de Texto,,
2025-11-16T10:16:23.875000-03:00,01:03,✅,ENEM 0000,Q120,Biologia/Interpretação de Texto,,
2025-11-16T10:09:55.582000-03:00,01:16,❌,ENEM 0000,Q133,Biologia/Genética,,
2025-11-16T10:00:58.328000-03:00,01:58,✅,ENEM 0000,Q170,Matemática Básica/Logaritmos,,
2025-11-16T09:10:41.949000-03:00,01:24,❌,ENEM 0000,Q164,Geometria,,
2025-11-15T16:21:29.504000-03:00,05:56,☑️,ENEM 0000,Q151,Matemática Básica/Escalas,,
2025-11-15T15:48:37.536000-03:00,01:52,✅,ENEM 0000,Q165,Matemática Básica/Médias,,
2025-11-15T15:21:00.400000-03:00,01:11,❌,ENEM 0000,Q161,Matemática Básica,,
2025-11-15T11:42:13.784000-03:00,02:34,❌,ENEM 0000,Q146,Combinatória,,
2025-11-15T09:54:57.208000-03:00,04:10,❌,ENEM 0000,Q106,Matemática Básica/Química,falta de atenção,
2025-11-15T09:50:21.825000-03:00,00:22,✅,ENEM 0000,Q117,Biologia,,
2025-11-15T09:44:31.613000-03:00,00:46,✅,ENEM 0000,Q120,Biologia/Genética,,
2025-11-15T09:37:41.930000-03:00,01:51,❌,ENEM 0000,Q93,Biologia/Genética,,
2025-11-15T09:31:42.630000-03:00,00:56,✅,ENEM 0000,Q107,Biologia/Sistema Digestório,,
2025-11-15T09:27:53.370000-03:00,01:26,✅,ENEM 0000,Q100,Óptica/Análise de Gráfico,,
2025-11-14T22:50:58.617000-03:00,00:47,❌,ENEM 0000,Q126,Termodinâmica,,
2025-11-14T22:29:08.068000-03:00,07:40,❌,ENEM 0000,Q117,Elétrica,,
2025-11-14T22:12:33.349000-03:00,01:57,❌,ENEM 0000,Q99,Biologia,,
2025-11-14T22:08:29.529000-03:00,00:30,✅,ENEM 0000,Q98,Química,,
2025-11-14T22:08:22.417000-03:00,00:18,✅,ENEM 0000,Q128,Biologia/Química,,
2025-11-14T22:05:00.645000-03:00,00:13,✅,ENEM 0000,Q134,Biologia/Genética,,
2025-11-08T11:05:56.513000-03:00,01:11,✅,ENEM 0000,Q26,Interpretação de Texto,"função conativa - convencer, induzir, persuadir, tomar alguma iniciativa. função fática - testando o canal de comunicação",
2025-11-08T11:02:26.924000-03:00,02:36,✅,ENEM 0000,Q09,Interpretação de Texto,,
2025-11-08T10:51:03.502000-03:00,01:45,✅,ENEM 0000,Q45,Interpretação de Texto,,
2025-11-08T10:50:55.846000-03:00,01:24,✅,ENEM 0000,Q33,Interpretação de Texto,,
2025-11-07T20:21:36.746000-03:00,00:38,✅,ENEM 0000,Q08,Interpretação de Texto,,
2025-11-07T20:12:40.477000-03:00,01:47,❌,ENEM 0000,Q24,Interpretação de Texto,,
2025-11-07T19:46:03.458000-03:00,01:28,✅,ENEM 0000,Q18,Interpretação de Texto,,
2025-11-07T19:42:42.475000-03:00,02:08,✅,ENEM 0000,Q32,Interpretação de Texto,,
2025-11-07T19:36:58.485000-03:00,01:19,✅,ENEM 0000,Q47,Interpretação de Texto,,
2025-11-06T21:21:02.067000-03:00,01:10,✅,ENEM 2024,Q55,Interpretação de Texto,,
2025-11-06T21:18:07.667000-03:00,01:29,✅,ENEM 2024,Q61,Interpretação de Texto,,
2025-11-06T21:16:18.637000-03:00,00:34,✅,ENEM 2024,Q60,Interpretação de Texto,,
2025-11-06T21:12:46.300000-03:00,01:30,✅,ENEM 2024,Q40,Interpretação de Texto,,
2025-11-06T21:08:19.628000-03:00,00:21,❌,ENEM 2024,Q53,Geografia,zonas de subducção são as áreas onde as placas tectônicas se colidem,
2025-11-06T21:06:20.039000-03:00,01:49,✅,ENEM 2024,Q75,Interpretação de Texto,,
2025-11-06T21:03:13.976000-03:00,01:01,❌,ENEM 2024,Q83,Interpretação de Texto,,
2025-11-06T20:22:09.792000-03:00,01:52,❌,ENEM 0000,Q62,Elétrica,,
2025-11-06T17:07:47.184000-03:00,00:35,✅,ENEM 0000,Q75,Ondas,,
2025-11-05T07:05:02.337000-03:00,01:26,❌,ENEM 0000,Q46,Forças,,
2025-11-04T22:08:06.319000-03:00,01:54,✅,ENEM 2024 PPL,Q140,Matemática Básica,,
2025-11-04T22:07:50.607000-03:00,01:19,✅,ENEM 2024 PPL,Q138,Matemática Básica,,
2025-11-04T22:07:21.464000-03:00,02:22,❌,ENEM 2024 PPL,Q137,Matemática Básica,,
2025-11-04T22:06:57.523000-03:00,01:06,✅,ENEM 2024 PPL,Q171,Matemática Básica,,
2025-11-04T22:06:37.032000-03:00,01:15,✅,ENEM 2024 PPL,Q170,Progressões,,
2025-11-04T22:06:28.142000-03:00,00:20,✅,ENEM 2024 PPL,Q164,Geometria,,
2025-11-04T22:06:19.856000-03:00,01:12,✅,ENEM 2024 PPL,Q162,Matemática Básica,,
2025-11-04T22:06:11.239000-03:00,00:20,✅,ENEM 2024 PPL,Q152,Análise Dimensional/Matemática Básica,,
2025-11-04T22:00:49.569000-03:00,00:20,E,ENEM 2024 PPL,Q152,Análise Dimensional/Matemática Básica,"01:12 E (ENEM 2024 PPL - Q162 - Matemática Básica)
00:20 D (ENEM 2024 PPL - Q164 - Geometria)
01:15 C (ENEM 2024 PPL - Q170 - Progressões)
01:06 A (ENEM 2024 PPL - Q17 - Matemática Básica)
02:22 B (ENEM 2024 PPL - Q137 - Matemática Básica)
01:19 C (ENEM 2024 PPL - Q138 - Matemática Básica)
voltar faltando 40min no timer
01:54 D (ENEM 2024 PPL - Q140 - Matemática Básica)
voltar faltando 35min no timer (141)
01:10  (ENEM 2024 PPL - Q142 - Geometria)
voltar faltando 22min no timer (155)",
2025-11-03T22:03:32.401000-03:00,01:16,✅,UNESP 2026,Q06,Interpretação de Texto/Progressões,,
2025-11-02T16:17:04.550000-03:00,04:29,✅,SANTA CASA 2026,Q80,Matemática Básica,,
2025-11-02T16:12:19.597000-03:00,06:38,❌,SANTA CASA 2026,Q79,Geometria,"fórmula geral da equação da reta: y-y0 = a*(x-x0). lei dos cossenos é - em triângulos, só em física que é + porque é o módulo vetorial ⚠️ aprender a converter cosseno em tangente",
2025-11-02T15:54:02.800000-03:00,09:12,❌,SANTA CASA 2026,Q78,Médias,,
2025-11-02T15:37:13.280000-03:00,08:13,☑️,SANTA CASA 2026,Q77,Combinatória,,
2025-11-02T15:14:49.225000-03:00,16:49,❌,SANTA CASA 2026,Q76,Geometria,"para relação de volume e lado, V/v = (L/l)³",
2025-11-02T14:56:54.710000-03:00,15:27,✅,SANTA CASA 2026,Q75,Geometria/Trigonometria,,
2025-11-02T14:36:29.445000-03:00,13:54,✅,SANTA CASA 2026,Q74,Análise de Gráfico/Funções,"intervalo de função assim ]0, 1[ significa ""aberto"", ou seja, o 0 e 1 são abertos/não incluídos",
2025-11-02T14:20:50.631000-03:00,18:53,✅,SANTA CASA 2026,Q73,Sistemas,,
2025-11-02T13:50:52.290000-03:00,04:18,❌,SANTA CASA 2026,Q72,Combinatória,"em questões de combinatória, geralmente é bom fazer o caso total e subtrair os casos negativos. sempre lembrar de não subtrair 2 vezes o mesmo caso",
2025-11-02T13:44:59.935000-03:00,06:18,✅,SANTA CASA 2026,Q71,Matemática Básica/Sistemas,,
2025-11-02T12:36:48.102000-03:00,01:35,❌,SANTA CASA 2026,Q70,Eletromagnetismo,"fórmula da intensidade do campo magnético no centro de uma espira: u0****i/2R x n. isso é para uma bobina, que o raio é mais relevante que o comprimento. para o solenoide que o comprimento é relevante, é só substituir o diâmetro(2R) por L | u0*i/L x n. colocando mais solenoides idênticos o campo magnético também fica idêntico",
2025-11-02T12:22:09.967000-03:00,04:20,✅,SANTA CASA 2026,Q69,Elétrica,,
2025-11-01T18:13:49.018000-03:00,03:20,❌,SANTA CASA 2026,Q68,Forças,,
2025-11-01T15:48:54.591000-03:00,04:51,✅,SANTA CASA 2026,Q67,Energia/Forças/Cinemática,,
